gene_id,ERR1338025,ERR1338026,ERR1338027,ERR1338028,ERR1338029,ERR1338030,ERR1338031,ERR1338032
ENSG00000142655.13|PEX14,1034,1503,1613,439,1700,1654,1775,1885
ENSG00000287727.1|ENSG00000287727,5,0,5,4,26,16,9,12
ENSG00000243267.3|RN7SL614P,1,0,2,2,2,8,0,0
ENSG00000130940.15|CASZ1,1219,1444,2082,586,1885,1906,2080,2161
ENSG00000272078.1|ENSG00000272078,290,415,439,194,97,99,133,172
ENSG00000175262.15|C1orf127,0,0,0,0,7,0,0,0
ENSG00000215785.2|CFL1P6,0,0,0,0,0,3,0,0
ENSG00000120948.19|TARDBP,14587,14969,14164,4888,17716,15368,15769,17402
ENSG00000009724.18|MASP2,88,74,121,40,1311,188,244,256
ENSG00000171824.14|EXOSC10,1938,1989,2429,779,5456,4383,3964,4603
ENSG00000230337.3|EXOSC10-AS1,0,4,4,0,12,0,0,2
ENSG00000198793.14|MTOR,1479,1723,1974,503,5111,4344,3938,3989
ENSG00000225602.5|MTOR-AS1,0,0,4,0,3,0,2,5
ENSG00000253086.1|RNU6-537P,0,0,0,0,2,0,0,0
ENSG00000238199.1|UBE2V2P3,0,0,0,0,14,8,7,7
ENSG00000224338.2|MTCYBP45,0,7,0,2,11,5,0,0
ENSG00000116649.10|SRM,475,489,623,188,1454,1437,1681,1713
ENSG00000226849.1|ENSG00000226849,137,104,157,75,256,194,173,180
ENSG00000171819.5|ANGPTL7,11,3,5,2,48,41,3,0
ENSG00000207451.1|RNU6-291P,1,0,0,0,2,0,0,0
ENSG00000238173.1|RPL39P6,1,0,1,0,0,1,1,1
ENSG00000120942.14|UBIAD1,1093,976,1063,314,1457,1283,1100,1379
ENSG00000284646.1|ENSG00000284646,33,21,17,6,68,87,42,42
ENSG00000204624.8|DISP3,2167,2614,1910,602,2680,2522,1738,2020
ENSG00000285833.1|ENSG00000285833,2,1,1,1,0,0,2,0
ENSG00000235643.2|LINC01647,0,0,0,0,0,0,0,0
ENSG00000177674.16|AGTRAP,481,474,549,188,642,526,380,463
ENSG00000215910.8|C1orf167,209,225,274,73,0,0,8,0
ENSG00000177553.6|C1orf167-AS1,0,0,0,0,0,0,0,0
ENSG00000177000.13|MTHFR,1598,1708,2121,688,4167,3865,4722,5354
ENSG00000284708.1|ENSG00000284708,60,35,23,11,26,22,46,54
ENSG00000116661.11|FBXO2,228,290,332,56,393,459,682,806
ENSG00000132879.14|FBXO44,2696,3158,3550,1107,2679,2479,3543,3881
ENSG00000116663.11|FBXO6,262,319,300,93,286,254,333,356
ENSG00000116670.16|MAD2L2,823,1102,885,292,2405,2571,2780,3123
ENSG00000162490.7|DRAXIN,5060,5425,3361,1239,3822,3812,3303,3981
ENSG00000011021.23|CLCN6,4543,4750,6207,2088,8580,6056,7642,8213
ENSG00000175206.11|NPPA,10,14,10,0,19,19,29,24
ENSG00000275915.1|ENSG00000275915,0,1,3,0,0,4,0,0
ENSG00000278852.1|ENSG00000278852,3,3,2,2,5,8,0,6
ENSG00000120937.9|NPPB,20,17,15,12,35,31,59,74
ENSG00000224904.1|SBF1P2,1,0,0,3,0,0,9,4
ENSG00000285646.2|ENSG00000285646,18,54,17,7,23,10,23,25
